item,type,linkcount
http://www.wikidata.org/entity/Q4847311,http://www.wikidata.org/entity/Q97303168,837
http://www.wikidata.org/entity/Q5296,http://www.wikidata.org/entity/Q14204246,809
http://www.wikidata.org/entity/Q4844001,http://www.wikidata.org/entity/Q11266439,738
http://www.wikidata.org/entity/Q20739451,http://www.wikidata.org/entity/Q11266439,697
http://www.wikidata.org/entity/Q4299475,http://www.wikidata.org/entity/Q11266439,659
http://www.wikidata.org/entity/Q16503,http://www.wikidata.org/entity/Q14204246,613
http://www.wikidata.org/entity/Q4039395,http://www.wikidata.org/entity/Q14204246,594
http://www.wikidata.org/entity/Q21042795,http://www.wikidata.org/entity/Q11266439,582
http://www.wikidata.org/entity/Q21042800,http://www.wikidata.org/entity/Q11266439,571
http://www.wikidata.org/entity/Q4608595,http://www.wikidata.org/entity/Q11266439,555
http://www.wikidata.org/entity/Q21042797,http://www.wikidata.org/entity/Q11266439,533
http://www.wikidata.org/entity/Q20950423,http://www.wikidata.org/entity/Q11266439,530
http://www.wikidata.org/entity/Q3926051,http://www.wikidata.org/entity/Q11266439,528
http://www.wikidata.org/entity/Q21042799,http://www.wikidata.org/entity/Q11266439,528
http://www.wikidata.org/entity/Q5461620,http://www.wikidata.org/entity/Q11266439,516
http://www.wikidata.org/entity/Q21042798,http://www.wikidata.org/entity/Q11266439,508
http://www.wikidata.org/entity/Q15379728,http://www.wikidata.org/entity/Q15184295,503
http://www.wikidata.org/entity/Q4048867,http://www.wikidata.org/entity/Q14204246,464
http://www.wikidata.org/entity/Q7253814,http://www.wikidata.org/entity/Q15184295,455
http://www.wikidata.org/entity/Q5462890,http://www.wikidata.org/entity/Q11266439,453
http://www.wikidata.org/entity/Q15098140,http://www.wikidata.org/entity/Q15184295,448
http://www.wikidata.org/entity/Q5611978,http://www.wikidata.org/entity/Q11266439,445
http://www.wikidata.org/entity/Q5400303,http://www.wikidata.org/entity/Q11266439,444
http://www.wikidata.org/entity/Q4654925,http://www.wikidata.org/entity/Q14204246,438
http://www.wikidata.org/entity/Q21042793,http://www.wikidata.org/entity/Q11266439,429
http://www.wikidata.org/entity/Q3938,http://www.wikidata.org/entity/Q14204246,429
http://www.wikidata.org/entity/Q5411705,http://www.wikidata.org/entity/Q11266439,427
http://www.wikidata.org/entity/Q5543187,http://www.wikidata.org/entity/Q19842659,424
http://www.wikidata.org/entity/Q5547114,http://www.wikidata.org/entity/Q19842659,423
http://www.wikidata.org/entity/Q5637226,http://www.wikidata.org/entity/Q11266439,418
http://www.wikidata.org/entity/Q5637226,http://www.wikidata.org/entity/Q97950663,418
http://www.wikidata.org/entity/Q5544939,http://www.wikidata.org/entity/Q19842659,417
http://www.wikidata.org/entity/Q15408619,http://www.wikidata.org/entity/Q15184295,417
http://www.wikidata.org/entity/Q6275256,http://www.wikidata.org/entity/Q11266439,402
http://www.wikidata.org/entity/Q5612101,http://www.wikidata.org/entity/Q11266439,398
http://www.wikidata.org/entity/Q5462387,http://www.wikidata.org/entity/Q11266439,395
http://www.wikidata.org/entity/Q914807,http://www.wikidata.org/entity/Q14204246,391
http://www.wikidata.org/entity/Q5617634,http://www.wikidata.org/entity/Q11266439,382
http://www.wikidata.org/entity/Q5529697,http://www.wikidata.org/entity/Q112869585,375
http://www.wikidata.org/entity/Q92570,http://www.wikidata.org/entity/Q11266439,370
http://www.wikidata.org/entity/Q92570,http://www.wikidata.org/entity/Q97950663,370
http://www.wikidata.org/entity/Q48029,http://www.wikidata.org/entity/Q11266439,369
http://www.wikidata.org/entity/Q5882248,http://www.wikidata.org/entity/Q11266439,363
http://www.wikidata.org/entity/Q5544913,http://www.wikidata.org/entity/Q19842659,363
http://www.wikidata.org/entity/Q5544913,http://www.wikidata.org/entity/Q20769160,363
http://www.wikidata.org/entity/Q6597144,http://www.wikidata.org/entity/Q11266439,360
http://www.wikidata.org/entity/Q5541223,http://www.wikidata.org/entity/Q19842659,360
http://www.wikidata.org/entity/Q5541627,http://www.wikidata.org/entity/Q19842659,360
http://www.wikidata.org/entity/Q5030944,http://www.wikidata.org/entity/Q11753321,359
http://www.wikidata.org/entity/Q5546014,http://www.wikidata.org/entity/Q19842659,353
http://www.wikidata.org/entity/Q5567997,http://www.wikidata.org/entity/Q19842659,352
http://www.wikidata.org/entity/Q6148868,http://www.wikidata.org/entity/Q11266439,343
