№,Language,Language (local),Wiki,Articles,Total,Edits,Admins,Users,Active Users,Files,Depth,More than 
1,English,English,en,"6,535,054","56,351,446","1,096,722,167","1,031","43,990,228","115,594","895,972",1131,1000000
2,Cebuano,Sinugboanong Binisaya,ceb,"6,125,832","11,231,884","34,875,708",6,"92,009",172,0,2,1000000
3,German,Deutsch,de,"2,704,265","7,469,120","222,788,583",193,"3,955,195","17,374","128,551",93,1000000
4,Swedish,Svenska,sv,"2,550,762","6,112,244","50,668,388",66,"827,323","1,935",0,16,1000000
5,French,Français,fr,"2,436,197","12,097,797","194,660,961",159,"4,416,685","17,625","68,842",253,1000000
6,Dutch,Nederlands,nl,"2,094,726","4,457,001","62,243,944",37,"1,217,918","3,8",20,18,1000000
7,Russian,Русский,ru,"1,834,146","7,398,681","123,546,011",76,"3,211,528","10,666","237,168",154,1000000
8,Spanish,Español,es,"1,787,543","7,687,238","144,160,987",63,"6,585,985","13,962",0,204,1000000
9,Italian,Italiano,it,"1,761,465","7,462,920","127,947,674",122,"2,269,871","8,162","140,952",180,1000000
10,Egyptian Arabic,مصرى (Maṣri),arz,"1,587,852","1,985,257","7,074,902",7,"185,675",189,"1,472",0,1000000
11,Polish,Polski,pl,"1,528,090","3,544,433","67,330,227",102,"1,179,935","4,244",261,33,1000000
12,Japanese,日本語,ja,"1,332,807","3,938,110","90,167,360",40,"1,951,161","14,928","33,3",87,1000000
13,Chinese,中文,zh,"1,288,527","7,082,269","72,228,814",66,"3,238,759","8,995","60,246",206,1000000
14,Vietnamese,Tiếng Việt,vi,"1,274,070","19,368,754","68,762,391",20,"871,594","2,142","24,292",--,1000000
15,Waray-Waray,Winaray,war,"1,265,784","2,881,603","6,284,439",3,"52,532",76,42,4,1000000
16,Arabic,العربية,ar,"1,174,051","7,758,429","58,490,518",26,"2,274,051","4,961","49,487",237,1000000
17,Ukrainian,Українська,uk,"1,165,601","4,064,667","36,366,885",50,"632,755","3,203","110,302",55,1000000
18,Portuguese,Português,pt,"1,093,835","5,381,601","63,760,613",55,"2,775,783","8,362","58,281",182,1000000
